Teams,Atlanta Hawks,Boston Celtics,Brooklyn Nets,Charlotte Hornets,Chicago Bulls,Cleveland Cavaliers,Dallas Mavericks,Denver Nuggets,Detroit Pistons,Golden State Warriors,Houston Rockets,Indiana Pacers,LA Clippers,Los Angeles Lakers,Memphis Grizzlies,Miami Heat,Milwaukee Bucks,Minnesota Timberwolves,New Orleans Pelicans,New York Knicks,Oklahoma City Thunder,Orlando Magic,Philadelphia 76ers,Phoenix Suns,Portland Trail Blazers,Sacramento Kings,San Antonio Spurs,Toronto Raptors,Utah Jazz,Washington Wizards
Atlanta Hawks,0,927.4128506799575,724.3680169118688,246.09704714155893,229.21722593444423,197.5983934741528,857.6938917004248,1422.5556416900574,112.82930977097222,2624.1135690542656,757.1990991929928,126.09901359248396,2340.2551742297733,2340.2551742297733,390.65944109929967,299.41874592372585,246.23045169465337,610.8197316545717,392.790092935795,723.1491552587925,906.3224698415859,212.65464105951887,640.8792594620711,1912.145619755192,2637.1391499994174,2562.4038562151045,969.4853184159293,358.5487343113517,1898.0616129168122,512.3040784587861
Boston Celtics,927.4128506799575,0,204.218630976422,684.8124131502958,1147.7914048227092,734.3014333491386,1774.1351862067197,2344.7919358718564,828.6498704453232,3543.4034186887725,1671.909703130731,1043.1939608633945,3252.8205278932514,3252.8205278932514,1311.93675712916,685.5058798779143,1164.5650561469702,1534.6642605479794,1313.9752248275738,205.26904649914906,1824.9890076750348,743.6525296308383,288.17367074223023,2824.5435798736708,3564.1890126939625,3482.9927729485403,1881.020207761094,575.0556314111666,2821.4164044789127,416.77263127113304
Brooklyn Nets,724.3680169118688,204.218630976422,0,480.8583644116985,946.5984526943809,533.0768737748995,1574.634818791252,2144.1133629778233,627.773102867361,3344.0015277575026,1472.6495933023164,841.6701614812216,3055.3617551373063,3055.3617551373063,1110.7207828422947,483.664867040679,963.4664122337316,1333.1076759700106,1112.7809942028123,1.838680181990709,1625.013410344176,539.6053974003813,83.96776703816928,2626.920128480445,3361.500385010938,3283.1449548152755,1682.7660481107087,376.2658099051954,2620.4733147154,212.7139858868693
Charlotte Hornets,246.09704714155893,684.8124131502958,480.8583644116985,0,473.6988266597685,88.07711649900871,1103.2508042829609,1668.6393203773303,167.61177436599922,2870.2080176080267,1002.3633512153165,368.7482522869674,2585.9265237788777,2585.9265237788777,636.4322264183845,116.45058951908612,490.7470333797411,856.9127702982656,638.5505006455061,479.72583656679006,1152.1905230660363,80.62655302498737,396.97197248642533,2157.7017745326207,2881.7668179875373,2808.4949633767624,1214.3589243815347,141.7343373386611,2144.0376166937863,268.1497356463022
Chicago Bulls,229.21722593444423,1147.7914048227092,946.5984526943809,473.6988266597685,0,413.60442110743156,629.7346398128649,1197.5321117333804,319.14284702444996,2398.0674165473306,528.6709951451755,105.20895006593899,2112.381418199377,2112.381418199377,164.15593000901373,525.5192370371132,17.05057050559227,386.9438478195602,166.20395153161317,945.2880884978127,679.169581953734,440.5061371618889,863.9385170041456,1684.0877697977864,2417.4474054376074,2336.8584913990844,740.6961672189376,573.232988621955,1673.889019360563,736.3360111952215
Cleveland Cavaliers,197.5983934741528,734.3014333491386,533.0768737748995,88.07711649900871,413.60442110743156,0,1041.8410941684288,1611.0539900116794,94.7788519333605,2811.060777308273,940.0329755139467,308.89258087596716,2523.5323414830186,2523.5323414830186,577.7576311048176,199.0933504139615,430.4382392198717,800.3800280051989,579.8080607445422,531.7521524737248,1092.018620886131,133.14664553423594,450.72578704382994,2095.07450751276,2830.1859606052158,2750.103102928289,1150.8128211292324,161.36367652537393,2087.48168630024,324.0924613771238
Dallas Mavericks,857.6938917004248,1774.1351862067197,1574.634818791252,1103.2508042829609,629.7346398128649,1041.8410941684288,0,572.630843147614,947.0637914854275,1769.408567663197,102.47371948629663,734.9148771042591,1482.68024596524,1482.68024596524,467.06676194671485,1146.4945229068414,612.7092232721084,253.78595699885108,464.9289226685522,1573.2754545908379,53.85492861676522,1065.1332804156825,1492.5605821308159,1054.4698272992619,1800.7644844166907,1708.858493945468,116.53155138349751,1199.202035200647,1049.1630048496545,1365.5461493390662
Denver Nuggets,1422.5556416900574,2344.7919358718564,2144.1133629778233,1668.6393203773303,1197.5321117333804,1611.0539900116794,572.630843147614,0,1516.4244608511494,1201.9256072461174,675.0734122633675,1302.5607548833768,926.5777807056363,926.5777807056363,1033.4605636074346,1702.624218094732,1180.6502092870237,811.7465348233573,1031.3898645625995,2142.7965610884085,520.5550218140082,1624.9197622461286,2061.4520947928077,506.62364512392406,1229.3741493666432,1139.872134787928,474.7557480002906,1769.7555003696068,476.79193465500373,1933.6463795919854
Detroit Pistons,112.82930977097222,828.6498704453232,627.773102867361,167.61177436599922,319.14284702444996,94.7788519333605,947.0637914854275,1516.4244608511494,0,2716.303533012944,845.2563115547786,214.80243804760636,2428.7943944106337,2428.7943944106337,483.2872758270057,257.0845646868225,335.91943135991454,706.0530172958861,485.32691271444696,626.4394209750839,997.2696379927285,172.43329312734284,545.4992250807237,2000.3398850635651,2736.261219935736,2655.377296920716,1056.0891825042509,254.35601138991336,1992.9121670180393,418.77838187286176
Golden State Warriors,2624.1135690542656,3543.4034186887725,3344.0015277575026,2870.2080176080267,2398.0674165473306,2811.060777308273,1769.408567663197,1201.9256072461174,2716.303533012944,0,1871.5320038185316,2503.242608735157,312.8181562414697,312.8181562414697,2234.280713879381,2904.049147414994,2381.110663673661,2013.344870068116,2232.187555999736,3342.6488502392285,1719.0495076890381,2826.801058427256,3261.769290909939,725.3323792408149,288.9146130913339,68.15390223272347,1662.8733054802706,2968.581188395579,730.4729901726516,3134.398050355491
Houston Rockets,757.1990991929928,1671.909703130731,1472.6495933023164,1002.3633512153165,528.6709951451755,940.0329755139467,102.47371948629663,675.0734122633675,845.2563115547786,1871.5320038185316,0,633.7485930777116,1583.857954346038,1583.857954346038,367.0184229409369,1047.9474596325636,511.62555058848574,163.23327504726282,364.86103803940944,1471.281962119912,155.0221643265388,965.7487051848609,1390.707831424859,1155.4914855287288,1902.913160158452,1811.118887159093,212.5056898477244,1097.0511719961962,1151.6348541207446,1263.8919098614563
Indiana Pacers,126.09901359248396,1043.1939608633945,841.6701614812216,368.7482522869674,105.20895006593899,308.89258087596716,734.9148771042591,1302.5607548833768,214.80243804760636,2503.242608735157,633.7485930777116,0,2217.5322227126285,2217.5322227126285,269.1003077493642,425.10693241218416,122.21396433672575,491.5064684639535,271.1727699879846,840.3711597595027,784.3758968158763,338.7066698546709,758.8942239103063,1789.2146873019121,2521.4670490338267,2441.9894418139884,845.6273187743079,469.1529959138338,1778.8135144982411,631.1825543295928
LA Clippers,2340.2551742297733,3252.8205278932514,3055.3617551373063,2585.9265237788777,2112.381418199377,2523.5323414830186,1482.68024596524,926.5777807056363,2428.7943944106337,312.8181562414697,1583.857954346038,2217.5322227126285,0,0.0,1949.5994517307022,2625.740096434003,2095.348103627822,1731.297682435336,1947.4713125166588,3053.957801321687,1434.0506615431334,2546.2377151795854,2973.9341318805114,428.4635356654096,503.2118865022903,272.39249657188554,1372.7341601294613,2679.196189122983,481.31421621307265,2847.5576533154695
Los Angeles Lakers,2340.2551742297733,3252.8205278932514,3055.3617551373063,2585.9265237788777,2112.381418199377,2523.5323414830186,1482.68024596524,926.5777807056363,2428.7943944106337,312.8181562414697,1583.857954346038,2217.5322227126285,0.0,0,1949.5994517307022,2625.740096434003,2095.348103627822,1731.297682435336,1947.4713125166588,3053.957801321687,1434.0506615431334,2546.2377151795854,2973.9341318805114,428.4635356654096,503.2118865022903,272.39249657188554,1372.7341601294613,2679.196189122983,481.31421621307265,2847.5576533154695
Memphis Grizzlies,390.65944109929967,1311.93675712916,1110.7207828422947,636.4322264183845,164.15593000901373,577.7576311048176,467.06676194671485,1033.4605636074346,483.2872758270057,2234.280713879381,367.0184229409369,269.1003077493642,1949.5994517307022,1949.5994517307022,0,681.4764227010625,147.37824367093629,222.95394200065363,2.179045106592191,1109.414519534462,515.7608336795972,598.7741714646844,1027.992718446699,1521.4913236567816,2253.63201705208,2172.9353888165138,579.5098263248309,737.2772401106914,1509.7538672877831,900.2437207532031
Miami Heat,299.41874592372585,685.5058798779143,483.664867040679,116.45058951908612,525.5192370371132,199.0933504139615,1146.4945229068414,1702.624218094732,257.0845646868225,2904.049147414994,1047.9474596325636,425.10693241218416,2625.740096434003,2625.740096434003,681.4764227010625,0,542.2630333880404,894.9057247973413,683.6496620122499,482.9138223126324,1193.0559877545315,88.15027102085968,401.76741368613426,2198.720587275191,2903.2343706078673,2841.1580722072317,1260.3750705041837,224.91638101380528,2174.919893205594,281.3665217635717
Milwaukee Bucks,246.23045169465337,1164.5650561469702,963.4664122337316,490.7470333797411,17.05057050559227,430.4382392198717,612.7092232721084,1180.6502092870237,335.91943135991454,2381.110663673661,511.62555058848574,122.21396433672575,2095.348103627822,2095.348103627822,147.37824367093629,542.2630333880404,0,370.2622076739643,149.411638670546,962.1526404496053,662.1842517006886,457.38572443261063,880.8451026420832,1667.0497471276708,2400.8569096069073,2319.9274034479427,723.6456093784864,589.914592059854,1657.0434852902915,753.2878145474839
Minnesota Timberwolves,610.8197316545717,1534.6642605479794,1333.1076759700106,856.9127702982656,386.9438478195602,800.3800280051989,253.78595699885108,811.7465348233573,706.0530172958861,2013.344870068116,163.23327504726282,491.5064684639535,1731.297682435336,1731.297682435336,222.95394200065363,894.9057247973413,370.2622076739643,0,220.95723843224823,1331.8185716038995,298.31764300937186,814.946690927134,1250.174967673996,1303.9061438126355,2030.6844492073947,1951.5842117210914,369.8575980476697,960.1700657884259,1287.5484076724167,1122.1310032961144
New Orleans Pelicans,392.790092935795,1313.9752248275738,1112.7809942028123,638.5505006455061,166.20395153161317,579.8080607445422,464.9289226685522,1031.3898645625995,485.32691271444696,2232.187555999736,364.86103803940944,271.1727699879846,1947.4713125166588,1947.4713125166588,2.179045106592191,683.6496620122499,149.411638670546,220.95723843224823,0,1111.4738921831893,513.645196751579,600.9373143753566,1030.0624128888003,1519.3584170009344,2251.6400830954317,2170.851048689983,577.3507827153807,739.2985516824098,1507.6954668788424,902.3250323320378
New York Knicks,723.1491552587925,205.26904649914906,1.838680181990709,479.72583656679006,945.2880884978127,531.7521524737248,1573.2754545908379,2142.7965610884085,626.4394209750839,3342.6488502392285,1471.281962119912,840.3711597595027,3053.957801321687,3053.957801321687,1109.414519534462,482.9138223126324,962.1526404496053,1331.8185716038995,1111.4738921831893,0,1623.6692793518635,538.6366961796533,82.90526779433405,2625.5182027228793,3360.275032844064,3281.8053561742186,1681.373163078991,374.83780273150455,2619.1681612069697,211.59196181499183
Oklahoma City Thunder,906.3224698415859,1824.9890076750348,1625.013410344176,1152.1905230660363,679.169581953734,1092.018620886131,53.85492861676522,520.5550218140082,997.2696379927285,1719.0495076890381,155.0221643265388,784.3758968158763,1434.0506615431334,1434.0506615431334,515.7608336795972,1193.0559877545315,662.1842517006886,298.31764300937186,513.645196751579,1623.6692793518635,0,1112.5198795481294,1542.7201551515525,1006.2088513571019,1747.9122887015835,1658.152489359365,86.00550467803745,1249.9532352667156,997.3002010258267,1415.4152350404215
Orlando Magic,212.65464105951887,743.6525296308383,539.6053974003813,80.62655302498737,440.5061371618889,133.14664553423594,1065.1332804156825,1624.9197622461286,172.43329312734284,2826.801058427256,965.7487051848609,338.7066698546709,2546.2377151795854,2546.2377151795854,598.7741714646844,88.15027102085968,457.38572443261063,814.946690927134,600.9373143753566,538.6366961796533,1112.5198795481294,0,455.8722019619996,2118.6862531040683,2831.1254763338743,2764.3518219650705,1178.2539178840918,221.5785710023113,2098.6276103103996,328.7589023854662
Philadelphia 76ers,640.8792594620711,288.17367074223023,83.96776703816928,396.97197248642533,863.9385170041456,450.72578704382994,1492.5605821308159,2061.4520947928077,545.4992250807237,3261.769290909939,1390.707831424859,758.8942239103063,2973.9341318805114,2973.9341318805114,1027.992718446699,401.76741368613426,880.8451026420832,1250.174967673996,1030.0624128888003,82.90526779433405,1542.7201551515525,455.8722019619996,0,2545.471578251279,3277.9994007705563,3200.739291089185,1601.21448892911,296.0669283670937,2537.6693735625854,128.82973989007567
Phoenix Suns,1912.145619755192,2824.5435798736708,2626.920128480445,2157.7017745326207,1684.0877697977864,2095.07450751276,1054.4698272992619,506.62364512392406,2000.3398850635651,725.3323792408149,1155.4914855287288,1789.2146873019121,428.4635356654096,428.4635356654096,1521.4913236567816,2198.720587275191,1667.0497471276708,1303.9061438126355,1519.3584170009344,2625.5182027228793,1006.2088513571019,2118.6862531040683,2545.471578251279,0,823.265251792078,670.2095281275817,944.2713338595037,2250.7735919530637,189.6683219719927,2419.107620745412
Portland Trail Blazers,2637.1391499994174,3564.1890126939625,3361.500385010938,2881.7668179875373,2417.4474054376074,2830.1859606052158,1800.7644844166907,1229.3741493666432,2736.261219935736,288.9146130913339,1902.913160158452,2521.4670490338267,503.2118865022903,503.2118865022903,2253.63201705208,2903.2343706078673,2400.8569096069073,2030.6844492073947,2251.6400830954317,3360.275032844064,1747.9122887015835,2831.1254763338743,3277.9994007705563,823.265251792078,0,267.40891926665904,1703.8148143874485,2990.578312300259,758.4329269474027,3149.330314175827
Sacramento Kings,2562.4038562151045,3482.9927729485403,3283.1449548152755,2808.4949633767624,2336.8584913990844,2750.103102928289,1708.858493945468,1139.872134787928,2655.377296920716,68.15390223272347,1811.118887159093,2441.9894418139884,272.39249657188554,272.39249657188554,2172.9353888165138,2841.1580722072317,2319.9274034479427,1951.5842117210914,2170.851048689983,3281.8053561742186,1658.152489359365,2764.3518219650705,3200.739291089185,670.2095281275817,267.40891926665904,0,1603.273282624718,2908.0257096318146,666.5573589277988,3073.170079833655
San Antonio Spurs,969.4853184159293,1881.020207761094,1682.7660481107087,1214.3589243815347,740.6961672189376,1150.8128211292324,116.53155138349751,474.7557480002906,1056.0891825042509,1662.8733054802706,212.5056898477244,845.6273187743079,1372.7341601294613,1372.7341601294613,579.5098263248309,1260.3750705041837,723.6456093784864,369.8575980476697,577.3507827153807,1681.373163078991,86.00550467803745,1178.2539178840918,1601.21448892911,944.2713338595037,1703.8148143874485,1603.273282624718,0,1306.7296584915525,948.2449386838834,1474.865837937571
Toronto Raptors,358.5487343113517,575.0556314111666,376.2658099051954,141.7343373386611,573.232988621955,161.36367652537393,1199.202035200647,1769.7555003696068,254.35601138991336,2968.581188395579,1097.0511719961962,469.1529959138338,2679.196189122983,2679.196189122983,737.2772401106914,224.91638101380528,589.914592059854,960.1700657884259,739.2985516824098,374.83780273150455,1249.9532352667156,221.5785710023113,296.0669283670937,2250.7735919530637,2990.578312300259,2908.0257096318146,1306.7296584915525,0,2246.4150557571184,176.0595862571186
Utah Jazz,1898.0616129168122,2821.4164044789127,2620.4733147154,2144.0376166937863,1673.889019360563,2087.48168630024,1049.1630048496545,476.79193465500373,1992.9121670180393,730.4729901726516,1151.6348541207446,1778.8135144982411,481.31421621307265,481.31421621307265,1509.7538672877831,2174.919893205594,1657.0434852902915,1287.5484076724167,1507.6954668788424,2619.1681612069697,997.3002010258267,2098.6276103103996,2537.6693735625854,189.6683219719927,758.4329269474027,666.5573589277988,948.2449386838834,2246.4150557571184,0,2409.679281842482
Washington Wizards,512.3040784587861,416.77263127113304,212.7139858868693,268.1497356463022,736.3360111952215,324.0924613771238,1365.5461493390662,1933.6463795919854,418.77838187286176,3134.398050355491,1263.8919098614563,631.1825543295928,2847.5576533154695,2847.5576533154695,900.2437207532031,281.3665217635717,753.2878145474839,1122.1310032961144,902.3250323320378,211.59196181499183,1415.4152350404215,328.7589023854662,128.82973989007567,2419.107620745412,3149.330314175827,3073.170079833655,1474.865837937571,176.0595862571186,2409.679281842482,0
